site_id,site_name,site_address,latitude,longitude,site_manager
1 Clinton Street,1 Clinton Street,1 Clinton Street Brooklyn NY,40.696445,-73.991356,John Doe
1080 Washington Ave,1080 Washington Ave,1080 Washington Ave Bronx NY,40.827988,-73.90873,John Doe
1110 Washington Avenue,1110 Washington Avenue,1110 Washington Avenue Bronx NY,40.828823,-73.90827,John Doe
1215 Spofford Avenue,1215 Spofford Avenue,1215 Spofford Avenue Bronx NY,40.81399,-73.8899,John Doe
150 Fifth Avenue,150 Fifth Avenue,150 Fifth Avenue New York NY,40.739628,-73.99099,John Doe
1618 Fulton Street,1618 Fulton Street,1618 Fulton Street Brooklyn NY,40.67964,-73.93586,John Doe
175 Pearl Street,175 Pearl Street,175 Pearl Street Brooklyn NY,40.6997,-73.98779,John Doe
1921 Cortelyou Road,1921 Cortelyou Road,1921 Cortelyou Road Brooklyn NY,40.64296,-73.96058,John Doe
2035 Newbold Avenue,2035 Newbold Avenue,2035 Newbold Avenue Bronx NY,40.832714,-73.85626,John Doe
315 Linwood Street,315 Linwood Street,315 Linwood Street Brooklyn NY,40.67786,-73.8836,John Doe
345 St Anns - Park Haven,345 St Anns - Park Haven,345 St Anns - Park Haven Bronx NY,40.80916,-73.91597,John Doe
350 Clarkson Avenue,350 Clarkson Avenue,350 Clarkson Avenue Brooklyn NY,40.655506,-73.948586,John Doe
"3500 Park Avenue, Bronx","3500 Park Avenue, Bronx","3500 Park Avenue, Bronx Bronx NY",,,John Doe
37-09 College Point Blvd,37-09 College Point Blvd,37-09 College Point Blvd Queens NY,,,John Doe
405 Dumont Ave,405 Dumont Ave,405 Dumont Ave Brooklyn NY,40.664852,-73.90428,John Doe
50 Nevins St,50 Nevins St,50 Nevins St Brooklyn NY,40.687157,-73.98194,John Doe
50 Pennsylvania Ave,50 Pennsylvania Ave,50 Pennsylvania Ave Brooklyn NY,40.67684,-73.89714,John Doe
575 Lexington Avenue,575 Lexington Avenue,575 Lexington Avenue New York NY,40.75717,-73.97186,John Doe
700 Manida,700 Manida,700 Manida Bronx NY,40.81428,-73.888336,John Doe
801 East 181 St/ a.k.a. 2126 Mapes Apartments,801 East 181 St/ a.k.a. 2126 Mapes Apartments,801 East 181 St/ a.k.a. 2126 Mapes Apartments Bronx NY,,,John Doe
82-41 Parsons Blvd,82-41 Parsons Blvd,82-41 Parsons Blvd Queens NY,,,John Doe
894 Fountain Avenue,894 Fountain Avenue,894 Fountain Avenue Brooklyn NY,40.65707,-73.86467,John Doe
972 Washington Avenye,972 Washington Avenye,972 Washington Avenye Bronx NY,40.82555,-73.91007,John Doe
975 Tiffany Street,975 Tiffany Street,975 Tiffany Street Bronx NY,40.820656,-73.89492,John Doe
Archer Green Jamaica (92-23 168th Street),Archer Green Jamaica (92-23 168th Street),Archer Green Jamaica (92-23 168th Street) Queens NY,,,John Doe
Beach 21st,Beach 21st,Beach 21st Queens NY,,,John Doe
Bedford Union Armory Project,Bedford Union Armory Project,Bedford Union Armory Project Brooklyn NY,,,John Doe
Bronx Murphy NYCHA Houses,Bronx Murphy NYCHA Houses,Bronx Murphy NYCHA Houses Bronx NY,,,John Doe
Brookfield Property AKA 2401 Third Avenue,Brookfield Property AKA 2401 Third Avenue,Brookfield Property AKA 2401 Third Avenue Bronx NY,,,John Doe
Caton Flats,Caton Flats,Caton Flats Brooklyn NY,,,John Doe
Coney Island Phase 1,Coney Island Phase 1,Coney Island Phase 1 Brooklyn NY,,,John Doe
Essex Crossing Site 3,Essex Crossing Site 3,Essex Crossing Site 3 New York NY,,,John Doe
Essex Crossing Site 4 (180 Broome),Essex Crossing Site 4 (180 Broome),Essex Crossing Site 4 (180 Broome) New York NY,,,John Doe
Far Rockaway Village,Far Rockaway Village,Far Rockaway Village Queens NY,,,John Doe
La Central,La Central,La Central Bronx NY,,,John Doe
Nehemiah,Nehemiah,Nehemiah Brooklyn NY,,,John Doe
Park Row,Park Row,Park Row New York NY,,,John Doe
Powerhouse,Powerhouse,Powerhouse Brooklyn NY,,,John Doe
Queens BFC - 153-19 Jamaica Ave,Queens BFC - 153-19 Jamaica Ave,Queens BFC - 153-19 Jamaica Ave Queens NY,,,John Doe
Queens Plaza Project,Queens Plaza Project,Queens Plaza Project Queens NY,,,John Doe
Sendero Verde,Sendero Verde,Sendero Verde New York NY,,,John Doe
Victory Plaza (11 West 118th Street),Victory Plaza (11 West 118th Street),Victory Plaza (11 West 118th Street) New York NY,,,John Doe
3401 Third Avenue,3401 Third Avenue,3401 Third Avenue Bronx NY,40.828377,-73.907005,John Doe
2051 Ryer Avenue,2051 Ryer Avenue,2051 Ryer Avenue Bronx NY,40.85207,-73.901115,John Doe
B0001,faustosite,23-48 Broadway Street Astoria NY 11106,40.7635,-73.929,John Doe
B0002,nikita_home,pkwy,40.6,-73.964,John Doe
B0003,oliviaPlace,30-74 32nd street,40.7609,-73.9252,John Doe
B0004,tennis_courts,383 Avenue T Brooklyn NY 1122,40.599,-73.971,John Doe
B0005,sinagogue,Ocean Pkwy,40.602,-73.966,John Doe
B0006,faustoFamilyHouse,110-23 55 ave 2nd floor,40.7399,-73.8481,John Doe
